ID,Day,StartTime,EndTime
1,Sunday,9:00 AM,10:30 AM
2,Sunday,10:45 AM,12:15 PM
3,Sunday,12:30 PM,2:00 PM
4,Sunday,2:15 PM,3:45 PM
5,Monday,9:00 AM,10:30 AM
6,Monday,10:45 AM,12:15 PM
7,Monday,12:30 PM,2:00 PM
8,Monday,2:15 PM,3:45 PM
9,Tuesday,9:00 AM,10:30 AM
10,Tuesday,10:45 AM,12:15 PM
11,Tuesday,12:30 PM,2:00 PM
12,Tuesday,2:15 PM,3:45 PM
13,Wednesday,9:00 AM,10:30 AM
14,Wednesday,10:45 AM,12:15 PM
15,Wednesday,12:30 PM,2:00 PM
16,Wednesday,2:15 PM,3:45 PM
17,Thursday,9:00 AM,10:30 AM
18,Thursday,10:45 AM,12:15 PM
19,Thursday,12:30 PM,2:00 PM
20,Thursday,2:15 PM,3:45 PM